feature_class	feature	cohort	n	n_NR	n_R	auc_NR_high	median_NR	median_R	delta_median_NR_minus_R	logit_beta_per_sd	logit_se	logit_OR_per_sd	logit_p	mannwhitney_p	status	meta_tau2	meta_Q	meta_I2	logit_fdr
bulk_score	neutrophil_proxy	GSE23597	32	7	25	0.7885714285714286	0.5941922	0.2331698	0.36102239999999997	1.8527673088811298	0.8367941507165727	6.377443481871595	0.026820143510343696	0.02009830485915024	ok				0.05679000197618775
bulk_score	neutrophil_proxy	GSE73661	64	39	25	0.7158974358974359	0.38529003	0.12888716	0.25640287	0.7393422267347581	0.3095630301483408	2.09455731746753	0.016924607704094187	0.00385624533808762	ok				0.048190210026787084
bulk_score	neutrophil_proxy	GSE92415	59	27	32	0.6701388888888888	0.4957712	0.153650915	0.342120285	0.6372659670722349	0.29955589653002945	1.8913029197154723	0.03338942496051288	0.02581879433599367	ok				0.057789389354733836
bulk_score	neutrophil_proxy	random_effects	239	117	122					1.0966262805277203	0.2886020475217669	2.9940478880066412	0.00014482056391372424		ok_random_effects	0.1721947805075231	7.445085280544911	0.46273281644569186	0.001230414754995955
bulk_score	senmayo	GSE12251	23	11	12	0.9242424242424243	0.26148382	-0.190978055	0.452461875	3.5214026609435947	1.5965736568552193	33.83184981241927	0.027412027717922532	0.0006359753413841611	ok				0.05679000197618775
bulk_score	senmayo	GSE16879	61	33	28	0.8517316017316018	0.38243395	-0.010762679	0.393196629	1.815129554363204	0.46415663859449324	6.141871832197655	9.206827978426639e-05	2.646689001478154e-06	ok				0.001230414754995955
bulk_score	senmayo	GSE23597	32	7	25	0.7542857142857142	0.44999567	0.13458475	0.31541092000000004	1.3123079029840279	0.5842781703329885	3.714737079489378	0.024701910553219623	0.04302857876272781	ok				0.05679000197618775
bulk_score	senmayo	GSE73661	64	39	25	0.7405128205128205	0.30533907	0.0053144055	0.3000246645	0.9578114236795949	0.33833091595415693	2.6059868266432056	0.004640417873469734	0.0012821837418053018	ok				0.01815815689618592
bulk_score	senmayo	GSE92415	59	27	32	0.6712962962962963	0.22674175	-0.002991549500000001	0.2297332995	0.6344066458008456	0.29275360650525023	1.8859028010627086	0.030232358886458893	0.0248233285068707	ok				0.05679000197618775
bulk_score	senmayo	random_effects	239	117	122					1.1688052160898215	0.2853411644617797	3.2181453523607475	4.200459892223985e-05		ok_random_effects	0.17161878525074772	7.399806580671802	0.4594453305782414	0.0009451034757503966
cell_fraction	B_Plasma	GSE12251	23	11	12	0.5227272727272727	0.1071167901600959	0.10789775325482612	-0.0007809630947302193	0.0012472470305795764	0.4268032239429959	1.001248025166633	0.9976683453241083	0.8777166830732149	ok				0.9976683453241083
cell_fraction	B_Plasma	GSE16879	61	33	28	0.5205627705627707	0.10045314172766868	0.09765911498895971	0.002794026738708974	0.1746294615557987	0.2620076967389896	1.1908048958607955	0.5050883160722159	0.7888912656952989	ok				0.5827942108525568
cell_fraction	B_Plasma	GSE23597	32	7	25	0.6114285714285713	0.10810359352060733	0.10702407460549956	0.0010795189151077689	0.3475626633681333	0.44255818763244226	1.4156130149148873	0.43224892980668683	0.3948802325470846	ok				0.5246709083663383
cell_fraction	B_Plasma	GSE73661	64	39	25	0.4882051282051282	0.10847608322667168	0.1053973897605213	0.0030786934661503756	0.03475780189201622	0.2583592919249347	1.0353689140377957	0.8929812671743164	0.8796881115564643	ok				0.9345152796010288
cell_fraction	B_Plasma	GSE92415	59	27	32	0.5	0.1093584679218377	0.10216871166018035	0.007189756261657354	-0.06752256090488092	0.26369822322323194	0.934706632550717	0.7979045258390762	1.0	ok				0.8448400861825514
cell_fraction	B_Plasma	random_effects	239	117	122					0.07106753153893057	0.13542638221843006	1.0736537289088006	0.5997439670663052		ok_random_effects	0.0	0.8692942966484108	0.0	0.6715555202204673
