gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	Stromal_other	T_NK
CRKL	0.08721002	0.2261864	0.27236682	0.19009241	0.115678184	0.18686552	0.16816768	0.14482573
CRLF1	0.0032007531	0.003850597	0.0029192716	0.0068332264	0.0018975332	0.0014779781	0.05872931	0.0016155306
CRLF3	0.16766845	0.12044781	0.07518578	0.07537802	0.13200071	0.25487915	0.09648439	0.39571393
CRLS1	0.27252305	0.30635536	0.6371074	0.26495305	0.13905653	0.2294372	0.22812836	0.19295324
CRMP1	0.0027579581	0.120753415	0.0016475193	0.18908982	0.0	0.0009853188	0.30140027	0.0020071107
CRNDE	0.12555824	0.22785226	0.13669674	0.026593197	0.028038792	0.017685382	0.06003057	0.006339029
CRNKL1	0.13676582	0.2829223	0.20496045	0.21339384	0.14203468	0.14517094	0.21025072	0.1651848
CROCC	0.04857353	0.20780061	0.078121945	0.17907344	0.052759115	0.050220463	0.13360134	0.09337752
CROCCP2	0.09044696	0.2945665	0.20487158	0.30045766	0.106137656	0.109718665	0.32956785	0.17521602
CROT	0.055735588	0.21174099	0.2728296	0.25542894	0.135715	0.07800478	0.15642092	0.08775637
CRTAC1	0.00075311837	0.009626492	0.00071022555	0.035020284	0.0018975332	0.0004926594	0.1334757	0.0
CRTAM	0.012655458	0.004499961	0.0065401234	0.008778362	0.0115842605	0.11607944	0.015045473	0.2835468
CRTAP	0.20917228	0.65383536	0.22152221	1.1526468	0.25691694	0.5687668	0.5436923	0.13545427
CRTC1	0.06268768	0.19510296	0.12770204	0.1881797	0.04145753	0.10030587	0.0909743	0.07965723
CRTC2	0.095279425	0.2525894	0.15130793	0.19356272	0.048934814	0.121203616	0.16547172	0.10539319
CRTC3	0.17615601	0.24245846	0.11955237	0.27449137	0.18445624	0.19558291	0.42762738	0.33061045
CRX	0.006428681	0.028800515	0.012707809	0.0034166132	0.0	0.010838506	0.0	0.0059236125
CRY1	0.0436283	0.37028697	0.13244899	0.20365547	0.06137924	0.07924251	0.2625545	0.18300532
CRY2	0.08316558	0.21445495	0.15718955	0.21279463	0.032724977	0.094008654	0.15690513	0.095582254
CRYAA	0.002353495	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRYAB	0.02262101	0.05264562	0.0039872723	0.9305168	0.0151407635	0.02045381	6.4632792	0.013376828
CRYBA2	0.003993083	0.0	0.053921554	0.0	0.0	0.0019682122	0.0	0.00094239286
CRYBA4	0.10474673	0.005045758	0.002291388	0.0017083066	0.0018975332	0.0014779781	0.0046972022	0.0018847857
CRYBB1	0.08710051	0.02555755	0.0019218766	0.0029895366	0.0075901328	0.05942882	0.0	0.0010770204
CRYBB2	0.03171148	0.13148816	0.11535425	0.117375925	0.0151802655	0.03246142	0.03619529	0.01394558
CRYBB3	0.0	0.0	0.020383997	0.0	0.0	0.0	0.0	0.0
CRYBG3	0.06822927	0.8336841	0.09580983	0.8315041	0.016138019	0.15168546	0.19361001	0.013441477
CRYGN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010770204
CRYGS	0.006291138	0.025990564	0.050753146	0.017914971	0.0	0.009853188	0.0	0.0057889847
CRYL1	0.17390893	0.3684158	0.8016149	0.14163126	0.14765932	0.23939058	0.405264	0.109604076
CRYM	0.013410768	0.010627641	0.42024025	0.04941312	0.0032475393	0.0035048635	0.0038437045	0.0033047162
CRYM-AS1	0.008590058	0.020898132	0.049043898	0.015173429	0.0	0.010345847	0.0053390283	0.0037695714
CRYZ	0.108242735	0.1781358	0.18770611	0.333023	0.22252896	0.10998879	0.2315147	0.14181258
CRYZL1	0.15171446	0.49391145	0.31748953	0.46310493	0.27543485	0.19752412	0.49886164	0.28237197
CS	0.13175347	0.28715992	0.5106428	0.19766271	0.08769047	0.3231956	0.15020299	0.137587
CSAD	0.15007724	0.3431128	0.15779354	0.38822165	0.06651568	0.09320626	0.29577282	0.19623703
CSAG1	0.0	0.0057758954	0.0	0.0	0.0	0.0	0.053390283	0.0
CSDC2	0.0033890328	0.0057758954	0.000570012	0.0853115	0.0018975332	0.0	0.0053390283	0.00013462755
CSDE1	0.6265826	0.8425008	0.64534265	0.66105145	0.7210798	0.6823506	0.5407091	0.5863973
CSE1L	0.1008577	0.3500905	0.34953135	0.3072456	0.11147975	0.19058447	0.31711107	0.13272321
CSF1	0.016176574	0.24695867	0.0123311	1.2429558	1.1687665	0.020654336	0.43922287	0.10843102
CSF1R	0.015192812	0.008841886	0.003539924	0.0082853595	0.0055407477	1.7563826	0.012200917	0.00843618
CSF2	0.0031796384	0.044606842	0.00016103909	0.0033502588	0.09487343	0.0012393841	0.0	0.12100925
CSF2RA	0.020906562	0.02458406	0.014267675	0.028484818	0.028258547	1.2484738	0.019175114	0.015265101
CSF2RB	0.29207397	0.9994165	0.008610245	0.01659415	0.7922697	0.52676135	0.023284381	0.017232433
CSF3	0.0058738627	0.3865196	0.009710478	0.1356865	0.0	0.0034114362	0.015756633	0.0014809031
CSF3R	0.008690624	0.0025371297	0.0019230245	0.003922463	0.0037950664	1.1003867	0.013402616	0.006801961
CSGALNACT1	0.14414051	0.86939764	0.005137746	0.079636015	0.0151802655	0.046049204	0.029217768	0.08503932
CSGALNACT2	0.14458008	0.1624512	0.024378756	0.3092038	0.20804492	0.40737703	0.25836343	0.18693268
CSK	0.26478338	0.11205929	0.17992882	0.08018549	0.13630667	0.59346074	0.10302681	0.4876105
CSMD1	0.0	0.0019252985	0.0	0.0042707664	0.0	0.0	0.0	0.0
CSMD2	0.020334724	0.07197194	0.018418912	0.08324936	0.009487666	0.019692928	0.03203417	0.011544972
