gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	T_NK
CTD-2058B24.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2058B24.2	0.0	0.0	0.0	0.0	0.0	0.0	0.00022014794
CTD-2142D14.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SSTR1	0.00057583785	0.015519917	0.25732502	0.060240965	0.0	0.0017977201	0.00044029587
CLEC14A	0.012693944	4.152495	0.010964233	0.7832186	0.0	0.00936925	0.006443702
RP11-96D24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00639	0.0	0.020693222	0.0028417164	0.004016064	0.0	0.0029730934	0.0
SEC23A	0.16492195	0.43746245	0.5480002	0.46703964	0.13517062	0.18556339	0.19874893
RP11-545M17.1	0.0045568096	0.020693222	0.07692919	0.0	0.0	0.0029730934	0.003522367
GEMIN2	0.08000839	0.19569398	0.16517629	0.15116405	0.06421614	0.10114281	0.10275834
TRAPPC6B	0.14549787	0.3067491	0.15928765	0.31225568	0.20628145	0.20751639	0.1923067
RP11-407N17.4	0.0020154323	0.0051733055	0.0039425693	0.0	0.0	0.0029730934	0.0015410356
PNN	0.394665	0.5949386	0.5552018	0.47758248	0.37185624	0.43772554	0.4647228
MIA2	0.00057583785	0.0051733055	0.08947242	0.0	0.0	0.0014865467	0.0006604438
RP11-407N17.3	0.00028791893	0.0	0.014208582	0.0	0.0	0.0	0.0
CTAGE5	0.12465377	0.23065242	0.35647476	0.12158418	0.075162135	0.15364093	0.12751828
RP11-407N17.5	0.045793515	0.048768453	0.0424491	0.022434505	0.046296295	0.032082867	0.013649172
FBXO33	0.12096599	0.22782439	0.21272095	0.08811659	0.07821042	0.15789841	0.19879663
RP11-111A21.1	0.003455027	0.0051733055	0.0028417164	0.016064256	0.0	0.005946187	0.0013208876
RP11-662J14.1	0.00057583785	0.0051733055	0.0	0.0	0.0	0.0	0.0
RP11-662J14.2	0.00057583785	0.0	0.008525149	0.0	0.0	0.0044596405	0.0011007397
RP11-129M6.1	0.0	0.025866529	0.008525149	0.0	0.0	0.0	0.0017611835
